title,show_id,type,release_year,primary_country,genres_str,rating,date_added,date_added_year,date_added_month,director_primary,cast_primary,metadata
Dick Johnson Is Dead,s1,Movie,2020,United States,Documentaries,PG-13,2021-09-25,2021,9,Kirsten Johnson,,"Dick Johnson Is Dead | As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable. | Documentaries | Kirsten Johnson | United States"
Blood & Water,s2,Tv Show,2021,South Africa,International TV Shows|TV Dramas|TV Mysteries,TV-MA,2021-09-24,2021,9,,Ama Qamata,"Blood & Water | After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth. | International TV Shows|TV Dramas|TV Mysteries | Ama Qamata | South Africa"
Ganglands,s3,Tv Show,2021,Unknown,Crime TV Shows|International TV Shows|TV Action & Adventure,TV-MA,2021-09-24,2021,9,Julien Leclercq,Sami Bouajila,"Ganglands | To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war. | Crime TV Shows|International TV Shows|TV Action & Adventure | Julien Leclercq | Sami Bouajila | Unknown"
Jailbirds New Orleans,s4,Tv Show,2021,Unknown,Docuseries|Reality TV,TV-MA,2021-09-24,2021,9,,,"Jailbirds New Orleans | Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series. | Docuseries|Reality TV | Unknown"
Kota Factory,s5,Tv Show,2021,India,International TV Shows|Romantic TV Shows|TV Comedies,TV-MA,2021-09-24,2021,9,,Mayur More,"Kota Factory | In a city of coaching centers known to train India���s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life. | International TV Shows|Romantic TV Shows|TV Comedies | Mayur More | India"
Midnight Mass,s6,Tv Show,2021,Unknown,TV Dramas|TV Horror|TV Mysteries,TV-MA,2021-09-24,2021,9,Mike Flanagan,Kate Siegel,"Midnight Mass | The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe. | TV Dramas|TV Horror|TV Mysteries | Mike Flanagan | Kate Siegel | Unknown"
My Little Pony: A New Generation,s7,Movie,2021,Unknown,Children & Family Movies,PG,2021-09-24,2021,9,Robert Cullen,Vanessa Hudgens,"My Little Pony: A New Generation | Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals ��� and, hoof to heart, she���s determined to prove it. | Children & Family Movies | Robert Cullen | Vanessa Hudgens | Unknown"
Sankofa,s8,Movie,1993,United States,Dramas|Independent Movies|International Movies,TV-MA,2021-09-24,2021,9,Haile Gerima,Kofi Ghanaba,"Sankofa | On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past. | Dramas|Independent Movies|International Movies | Haile Gerima | Kofi Ghanaba | United States"
The Great British Baking Show,s9,Tv Show,2021,United Kingdom,British TV Shows|Reality TV,TV-14,2021-09-24,2021,9,Andy Devonshire,Mel Giedroyc,"The Great British Baking Show | A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best. | British TV Shows|Reality TV | Andy Devonshire | Mel Giedroyc | United Kingdom"
The Starling,s10,Movie,2021,United States,Comedies|Dramas,PG-13,2021-09-24,2021,9,Theodore Melfi,Melissa McCarthy,The Starling | A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden ��� and a husband who's struggling to find a way forward. | Comedies|Dramas | Theodore Melfi | Melissa McCarthy | United States
"Vendetta: Truth, Lies and The Mafia",s11,Tv Show,2021,Unknown,Crime TV Shows|Docuseries|International TV Shows,TV-MA,2021-09-24,2021,9,,,"Vendetta: Truth, Lies and The Mafia | Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves? | Crime TV Shows|Docuseries|International TV Shows | Unknown"
